workers,chunks,time,lif,vs1x,speedup
1,1,1.6463074940002116,7.0,1.0,1.0
1,2,0.9066928029997143,3.405946307377243,0.5507432884221554,1.8157279825686785
1,4,0.9183898239998598,3.462786337773868,0.5578482922217335,1.7926020639362648
1,8,1.0114181479993931,3.914844409980014,0.6143555512475017,1.6277219241682022
1,16,1.0112315939995824,3.913937877024339,0.6142422346280424,1.6280222095205734
1,32,0.9835109209998336,3.779233160678097,0.5974041450847621,1.6739087069074754
2,1,1.5269694120006534,7.0,1.0,1.0
2,2,0.9333612149994224,3.8900060874252693,0.6112507609281587,1.6359897834426282
2,4,0.8575846590001674,3.493002425642829,0.5616253032053536,1.7805465570954846
2,8,0.7579876740001055,2.9712003032567944,0.4964000379070993,2.014504278074106
2,16,0.6457907430003615,2.383385353629259,0.42292316920365736,2.364495664503197
2,32,0.5976487360003375,2.131162844800099,0.3913953556000124,2.5549613343443784
3,1,1.6999230499995974,7.0,1.0,1.0
3,2,0.9508028430000195,3.4745688600445517,0.559321107505569,1.7878817491078565
3,4,0.8409007199998086,2.9573589875142066,0.4946698734392758,2.021550237226559
3,8,0.8729568540002219,3.1082182114087047,0.5135272764260881,1.9473162301319937
3,16,0.5398901170001409,1.5407743815240047,0.3175967976905006,3.148646356864417
3,32,0.5591916659996059,1.6316093119614483,0.32895116399518104,3.03996492322687
