workers,time,speedup,efficiency
0,1,0.0549980279997726,0.8492048660390452,0.8492048660390452
1,2,0.02900800099996559,1.6100589971716408,0.8050294985858204
2,3,0.03578645800007507,1.30509124428745,0.43503041476248333
3,4,0.02559635099987645,1.8246582491459031,0.4561645622864758
4,5,0.025506103000225266,1.8311144199310283,0.36622288398620567
5,6,0.02044680699964374,2.284199826445876,0.38069997107431264
6,7,0.02000236699996094,2.3349533082784526,0.3335647583254932
7,8,0.016668762999870523,2.801923154124954,0.35024039426561926
8,9,0.01651302200025384,2.828349226400873,0.3142610251556526
9,10,0.014994366000337322,3.1148094556920816,0.31148094556920813
10,11,0.014223115999811853,3.2837103346816807,0.29851912133469827
11,12,0.013079891999950632,3.5707170212211863,0.2975597517684322
12,13,0.01228296399995088,3.802387843857991,0.29249137260446084
13,14,0.012299595000058616,3.797246413376698,0.27123188666976417
14,15,0.01132492499982618,4.124053183634805,0.274936878908987
15,16,0.01094827199995052,4.265932833982351,0.26662080212389694
