workers,chunks,time,lif,vs1x,speedup
1,1,0.1350392379999903,7.0,1.0,1.0
1,2,0.08434975199998007,3.9970514199723866,0.6246314274965483,1.6009441023611095
1,4,0.12069210300001032,6.150046447982415,0.8937558059978019,1.1188738504289608
1,8,0.10341560099982416,5.126551217644258,0.7658189022055323,1.3057917441317186
1,16,0.1160798739999791,5.8768085909956005,0.8596010738744501,1.1633303289079604
1,32,0.13164327899994532,6.7988164595511,0.9748520574438875,1.025796675879263
2,1,0.1263308899999629,7.0,1.0,1.0
2,2,0.08216724299995803,4.2033033567630005,0.6504129195953751,1.5374848344373366
2,4,0.07804783100004897,3.942438448748166,0.6178048060935207,1.6186342193146102
2,8,0.07796374299982745,3.937113511974805,0.6171391889968506,1.6203800015122733
2,16,0.08002007099980801,4.067332051556449,0.6334165064445562,1.578740038861825
2,32,0.1071714309998697,5.786712640108919,0.8483390800136149,1.1787739402314827
3,1,0.128776753000011,7.0,1.0,1.0
3,2,0.08500330499987285,4.2806614870847435,0.6600826858855929,1.514961718255586
3,4,0.07664762799981872,3.7615816497446346,0.5951977062180793,1.6801140017055136
3,8,0.07010760599996502,3.3552957729853006,0.5444119716231626,1.8368442505378841
3,16,0.08269492799990985,4.13725815092746,0.6421572688659325,1.5572509235409382
3,32,0.09342029899994486,4.803550521261356,0.7254438151576695,1.3784665043738193
